Title,Location,Description,nTile10,nTile25,nTile50,nTile75,nTile90
Data Engineer,"Arvada, CO",,87280,101854,117861,135383,151337
Data Engineer,"Ann Arbor, MI",,88620,103417,119670,137461,153660
Data Engineer,"Rochester, MN",,86095,100471,116260,133545,149282
Data Engineer,"Cambridge, MA",,96761,112918,130664,150090,167776
Data Engineer,"Sugar Land, TX",,87108,101653,117629,135117,151039
Data Engineer,"Lansing, MI",,83132,97013,112259,128949,144144
Data Engineer,"Evansville, IN",,81171,94725,109612,125908,140745
Data Engineer,"College Station, TX",,76897,89737,103840,119278,133334
Data Engineer,"Fairfield, CA",,96340,112427,130095,149437,167047
Data Engineer,"Clearwater, FL",,81405,94998,109927,126270,141150
Data Engineer,"Beaumont, TX",,83295,97203,112480,129202,144427
Data Engineer,"Independence, MO",,84132,98180,113609,130500,145878
Data Engineer,"Provo, UT",,78967,92152,106635,122488,136922
Data Engineer,"West Jordan, UT",,82089,95795,110850,127331,142335
Data Engineer,"Murrieta, CA",,93664,109303,126481,145285,162405
Data Engineer,"Palm Bay, FL",,78443,91541,105927,121676,136014
Data Engineer,"El Monte, CA",,96315,112397,130061,149397,167002
Data Engineer,"Carlsbad, CA",,92163,107552,124455,142958,159804
Data Engineer,"North Charleston, SC",,81555,95173,110130,126503,141410
Data Engineer,"Temecula, CA",,92372,107796,124736,143281,160166
Data Engineer,"Clovis, CA",,85777,100100,115831,133052,148731
Data Engineer,"Springfield, IL",,81268,94838,109743,126058,140913
Data Engineer,"Meridian, ID",,79892,93232,107884,123923,138526
Data Engineer,"Westminster, CO",,87280,101854,117861,135383,151337
Data Engineer,"Costa Mesa, CA",,95756,111745,129307,148531,166034
Data Engineer,"High Point, NC",,82565,96352,111494,128070,143162
Data Engineer,"Manchester, NH",,88113,102826,118985,136675,152781
Data Engineer,"Pueblo, CO",,80590,94046,108826,125006,139737
Data Engineer,"Lakeland, FL",,81189,94746,109636,125936,140776
Data Engineer,"Pompano Beach, FL",,83398,97324,112619,129362,144606
Data Engineer,"West Palm Beach, FL",,83765,97752,113114,129931,145242
Data Engineer,"Antioch, CA",,98858,115365,133496,153343,171413
Data Engineer,"Everett, WA",,93060,108598,125665,144348,161358
Data Engineer,"Downey, CA",,95968,111992,129592,148859,166400
Data Engineer,"Lowell, MA",,93687,109330,126512,145321,162445
Data Engineer,"Elgin, IL",,89129,104011,120357,138251,154543
Data Engineer,"Richmond, CA",,104863,122373,141604,162657,181824
Data Engineer,"Peoria, IL",,82952,96803,112016,128669,143832
Data Engineer,"Broken Arrow, OK",,81535,95149,110102,126471,141375
Data Engineer,"Miami Gardens, FL",,82960,96813,112027,128683,143847
Data Engineer,"Billings, MT",,82617,96412,111563,128150,143251
Data Engineer,"Gresham, OR",,89357,104277,120665,138604,154937
Data Engineer,"Lewisville, TX",,85002,99195,114784,131849,147386
Data Engineer,"Hillsboro, OR",,89185,104076,120433,138338,154640
Data Engineer,"Ventura, CA",,92064,107436,124320,142803,159631
Data Engineer,"Greeley, CO",,84418,98513,113995,130943,146374
Data Engineer,"Inglewood, CA",,96418,112517,130200,149557,167181
Data Engineer,"Waterbury, CT",,92580,108038,125017,143604,160526
Data Engineer,"League City, TX",,86838,101337,117263,134697,150570
Data Engineer,"Santa Maria, CA",,93205,108768,125861,144574,161610
Data Engineer,"Tyler, TX",,77723,90701,104955,120559,134766
Data Engineer,"Lakewood, NJ",,95835,111837,129412,148652,166170
Data Engineer,"Daly City, CA",,107350,125275,144963,166515,186137
Data Engineer,"Boulder, CO",,88062,102766,118916,136595,152692
Data Engineer,"Allen, TX",,85322,99569,115216,132346,147942
Data Engineer,"West Covina, CA",,95765,111755,129318,148545,166049
Data Engineer,"Sparks, NV",,86688,101162,117060,134464,150309
Data Engineer,"Wichita Falls, TX",,78417,91511,105892,121636,135969
Data Engineer,"Green Bay, WI",,82385,96141,111250,127790,142849
Data Engineer,"San Mateo, CA",,105856,123531,142945,164197,183546
Data Engineer,"Norwalk, CA",,95847,111851,129429,148671,166190
Data Engineer,"Rialto, CA",,91492,106768,123548,141916,158639
Data Engineer,"Las Cruces, NM",,72998,85187,98575,113230,126573
Data Engineer,"Chico, CA",,87650,102286,118360,135957,151978
Data Engineer,"El Cajon, CA",,92404,107833,124779,143331,160221
Data Engineer,"Burbank, CA",,96418,112517,130200,149557,167181
Data Engineer,"South Bend, IN",,80976,94497,109348,125605,140407
Data Engineer,"Renton, WA",,94668,110476,127837,146843,164147
Data Engineer,"Vista, CA",,92163,107552,124455,142958,159804
Data Engineer,"Davenport, IA",,81506,95116,110064,126427,141326
Data Engineer,"Edinburg, TX",,73857,86189,99734,114562,128062
Data Engineer,"Tuscaloosa, AL",,80516,93960,108727,124891,139609
Data Engineer,"Carmel, IN",,83458,97394,112700,129455,144710
Data Engineer,"San Angelo, TX",,76966,89817,103933,119384,133453
Data Engineer,"Vacaville, CA",,96025,112059,129670,148948,166500
Data Engineer,"Clinton, MI",,88208,102936,119113,136822,152945
Data Engineer,"Bend, OR",,83571,97525,112852,129630,144905
Data Engineer,"Woodbridge, NJ",,96358,112447,130119,149464,167076
